,ISBN,title,series,author,rating,genre,publish_company,format,number_of_pages,publish_month,publish_year,NYT_bestseller,top5,length_of_title,top_authors
0,9781419726552,"F*ck, That's Delicious: An Annotated Guide to Eating Well",0,Action Bronson,4.17,food-and-drink,Harry N. Abrams,Hardcover,192,September,2017,1.0,0,57,0
1,9780982301821,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,0,J.J. Smith,4.11,health,Adiva Publishing ,Paperback,167,February,2014,1.0,0,63,0
2,9780316407076,15th Affair,1,James Patterson,4.09,mystery,Hachette,Hardcover,351,May,2016,1.0,1,11,1
3,9780718088804,42 Faith: The Rest of the Jackie Robinson Story,0,Ed Henry,4.16,biography,Harper Collins,Hardcover,368,April,2017,1.0,1,47,0
4,9780451495426,7 Lessons from Heaven: How Dying Taught Me to Live a Joy-Filled Life,0,Mary C. Neal,4.08,non-fiction,Convergent Books,Paperback,288,September,2017,1.0,0,68,0
5,9780393254228,A Colony in a Nation,0,Chris Hayes,4.21,politics,W. W. NortonCompany,Hardcover,256,March,2017,1.0,0,20,0
6,9780761185734,A Field Guide to Redheads: An Illustrated Celebration,0,Elizabeth Graeber,3.52,humor,Workman Publishing Company,Hardcover,160,September,2016,1.0,0,53,0
7,9780735225114,A Legacy of Spies,1,John le Carré,3.9,fiction,Penguin Random House,Hardcover,264,September,2017,1.0,1,17,0
8,9781250085948,A Life Well Played: My Stories,0,Arnold Palmer,4.1,sports-and-games,Macmillan,Hardcover,272,October,2016,1.0,1,30,0
9,9780547577319,A Long Walk to Water: Based on a True Story,0,Linda Sue Park,4.25,historical,Clarion Books ,Paperback,128,October,2011,1.0,0,43,0
10,9781460396438,A Million Little Things,1,Susan   Mallery,3.87,romance,MIRA,ebook,368,February,2017,1.0,0,23,0
11,9780763660659,A Monster Calls,0,Patrick Ness,4.37,fantasy,Candlewick Press ,Paperback,206,March,2013,1.0,0,15,0
12,9780062356260,A Piece of the World,0,Christina Baker Kline,3.86,historical,Harper Collins,Hardcover,309,February,2017,1.0,1,20,0
13,9780061757099,The Bad Beginning,1,Lemony Snicket,3.93,fiction,Harper Collins,ebook,176,March,2009,1.0,1,17,0
14,9781250029461,A Street Cat Named Bob: And How He Saved My Life,1,James Bowen,3.97,non-fiction,Thomas Dunne Books ,Hardcover,279,July,2013,1.0,0,48,0
15,9780062448071,Accidentally on Purpose,1,Jill Shalvis,4.04,romance,Harper Collins,ebook,384,January,2017,1.0,1,23,0
16,9781501178320,Adultolescence,0,Gabbie Hanna,3.61,poetry,Atria/Keywords Press ,Paperback,248,September,2017,1.0,0,14,0
17,9780525426592,After You,1,Jojo Moyes,3.72,fiction,Pamela Dorman Books ,Hardcover,352,September,2015,1.0,0,9,0
18,9781101966969,Empire's End,1,Chuck Wendig,3.79,media-tie-in,Del Rey,Hardcover,423,February,2017,1.0,0,12,0
19,9781101883914,Against All Odds,0,Danielle Steel,4.03,romance,Penguin Random House,Hardcover,352,May,2017,1.0,1,16,1
